Month,scikit-learn: (Worldwide),TensorFlow: (Worldwide),PyTorch: (Worldwide)
2014-06,4,0,0
2014-07,4,0,0
2014-08,4,0,0
2014-09,4,0,0
2014-10,4,0,0
2014-11,5,0,0
2014-12,5,0,0
2015-01,5,0,0
2015-02,6,0,0
2015-03,7,0,0
2015-04,7,0,0
2015-05,7,0,0
2015-06,7,0,0
2015-07,7,0,0
2015-08,7,0,0
2015-09,7,0,0
2015-10,8,0,0
2015-11,9,16,0
2015-12,9,7,0
2016-01,8,7,0
2016-02,10,7,0
2016-03,12,8,0
2016-04,12,10,0
2016-05,11,14,0
2016-06,12,15,0
2016-07,10,14,0
2016-08,10,14,0
2016-09,12,18,0
2016-10,13,22,0
2016-11,19,26,0
2016-12,17,30,0
2017-01,17,31,0
2017-02,21,45,0
2017-03,24,51,0
2017-04,25,53,0
2017-05,24,54,0
2017-06,25,59,0
2017-07,23,55,0
2017-08,22,51,0
2017-09,23,53,0
2017-10,27,59,0
2017-11,28,67,2
2017-12,26,63,9
2018-01,26,64,11
2018-02,29,62,11
2018-03,31,71,14
2018-04,32,75,16
2018-05,31,75,19
2018-06,29,68,17
2018-07,29,67,19
2018-08,27,65,19
2018-09,28,61,19
2018-10,31,64,25
2018-11,33,69,27
2018-12,28,54,24
2019-01,27,61,23
2019-02,31,66,26
2019-03,34,69,31
2019-04,35,69,32
2019-05,34,62,29
2019-06,33,59,28
2019-07,34,65,32
2019-08,31,57,31
2019-09,31,56,31
2019-10,36,64,34
2019-11,37,60,35
2019-12,30,53,32
2020-01,29,53,29
2020-02,34,58,38
2020-03,34,53,37
2020-04,35,57,39
2020-05,34,58,41
2020-06,37,57,40
2020-07,34,59,43
2020-08,29,51,39
2020-09,30,50,39
2020-10,27,41,33
2020-11,25,41,32
2020-12,23,39,32
2021-01,21,36,29
2021-02,23,35,29
2021-03,26,39,35
2021-04,28,38,37
2021-05,26,38,35
2021-06,26,38,36
2021-07,23,36,35
2021-08,21,30,33
2021-09,24,34,34
2021-10,28,37,39
2021-11,30,39,42
2021-12,27,35,39
2022-01,34,46,45
2022-02,43,55,56
2022-03,50,65,66
2022-04,52,65,67
2022-05,46,63,62
2022-06,43,61,57
2022-07,39,53,54
2022-08,36,49,53
2022-09,38,51,55
2022-10,42,52,56
2022-11,53,53,60
2022-12,42,48,53
2023-01,38,49,55
2023-02,45,56,66
2023-03,45,57,72
2023-04,43,55,70
2023-05,40,52,64
2023-06,36,49,63
2023-07,34,45,78
2023-08,32,45,87
2023-09,35,44,82
2023-10,39,44,87
2023-11,37,47,96
2023-12,33,42,82
2024-01,34,41,80
2024-02,40,46,88
2024-03,40,53,97
2024-04,41,49,100
2024-05,38,46,89
2024-06,33,41,80
